,都道府県,種類,面積,知識,年代,人口
0,北海道,面積,83400.0,北海道の面積は83400km2である。,,
1,青森県,面積,9600.0,青森県の面積は9600km2である。,,
2,岩手県,面積,15200.0,岩手県の面積は15200km2である。,,
3,宮城県,面積,7200.0,宮城県の面積は7200km2である。,,
4,秋田県,面積,11600.0,秋田県の面積は11600km2である。,,
5,山形県,面積,9300.0,山形県の面積は9300km2である。,,
6,福島県,面積,13700.0,福島県の面積は13700km2である。,,
7,茨城県,面積,6000.0,茨城県の面積は6000km2である。,,
8,栃木県,面積,6400.0,栃木県の面積は6400km2である。,,
9,群馬県,面積,6300.0,群馬県の面積は6300km2である。,,
10,埼玉県,面積,3700.0,埼玉県の面積は3700km2である。,,
11,千葉県,面積,5100.0,千葉県の面積は5100km2である。,,
12,東京都,面積,2100.0,東京都の面積は2100km2である。,,
13,神奈川県,面積,2400.0,神奈川県の面積は2400km2である。,,
14,新潟県,面積,12500.0,新潟県の面積は12500km2である。,,
15,富山県,面積,4200.0,富山県の面積は4200km2である。,,
16,石川県,面積,4100.0,石川県の面積は4100km2である。,,
17,福井県,面積,4100.0,福井県の面積は4100km2である。,,
18,山梨県,面積,4400.0,山梨県の面積は4400km2である。,,
19,長野県,面積,13500.0,長野県の面積は13500km2である。,,
20,岐阜県,面積,10600.0,岐阜県の面積は10600km2である。,,
21,静岡県,面積,7700.0,静岡県の面積は7700km2である。,,
22,愛知県,面積,5100.0,愛知県の面積は5100km2である。,,
23,三重県,面積,5700.0,三重県の面積は5700km2である。,,
24,滋賀県,面積,4000.0,滋賀県の面積は4000km2である。,,
25,京都府,面積,4600.0,京都府の面積は4600km2である。,,
26,大阪府,面積,1900.0,大阪府の面積は1900km2である。,,
27,兵庫県,面積,8400.0,兵庫県の面積は8400km2である。,,
28,奈良県,面積,3600.0,奈良県の面積は3600km2である。,,
29,和歌山県,面積,4700.0,和歌山県の面積は4700km2である。,,
30,鳥取県,面積,3500.0,鳥取県の面積は3500km2である。,,
31,島根県,面積,6700.0,島根県の面積は6700km2である。,,
32,岡山県,面積,7100.0,岡山県の面積は7100km2である。,,
33,広島県,面積,8400.0,広島県の面積は8400km2である。,,
34,山口県,面積,6100.0,山口県の面積は6100km2である。,,
35,徳島県,面積,4100.0,徳島県の面積は4100km2である。,,
36,香川県,面積,1800.0,香川県の面積は1800km2である。,,
37,愛媛県,面積,5600.0,愛媛県の面積は5600km2である。,,
38,高知県,面積,7100.0,高知県の面積は7100km2である。,,
39,福岡県,面積,4900.0,福岡県の面積は4900km2である。,,
40,佐賀県,面積,2400.0,佐賀県の面積は2400km2である。,,
41,長崎県,面積,4100.0,長崎県の面積は4100km2である。,,
42,熊本県,面積,7400.0,熊本県の面積は7400km2である。,,
43,大分県,面積,6300.0,大分県の面積は6300km2である。,,
44,宮崎県,面積,7700.0,宮崎県の面積は7700km2である。,,
45,鹿児島県,面積,9100.0,鹿児島県の面積は9100km2である。,,
46,沖縄県,面積,2200.0,沖縄県の面積は2200km2である。,,
48,北海道,人口,,1920年の北海道の人口は235万人です。,1920.0,235.0
49,青森県,人口,,1920年の青森県の人口は75万人です。,1920.0,75.0
50,岩手県,人口,,1920年の岩手県の人口は84万人です。,1920.0,84.0
51,宮城県,人口,,1920年の宮城県の人口は96万人です。,1920.0,96.0
52,秋田県,人口,,1920年の秋田県の人口は89万人です。,1920.0,89.0
53,山形県,人口,,1920年の山形県の人口は96万人です。,1920.0,96.0
54,福島県,人口,,1920年の福島県の人口は136万人です。,1920.0,136.0
55,茨城県,人口,,1920年の茨城県の人口は135万人です。,1920.0,135.0
56,栃木県,人口,,1920年の栃木県の人口は104万人です。,1920.0,104.0
57,群馬県,人口,,1920年の群馬県の人口は105万人です。,1920.0,105.0
58,埼玉県,人口,,1920年の埼玉県の人口は131万人です。,1920.0,131.0
59,千葉県,人口,,1920年の千葉県の人口は133万人です。,1920.0,133.0
60,東京都,人口,,1920年の東京都の人口は369万人です。,1920.0,369.0
61,神奈川県,人口,,1920年の神奈川県の人口は132万人です。,1920.0,132.0
62,新潟県,人口,,1920年の新潟県の人口は177万人です。,1920.0,177.0
63,富山県,人口,,1920年の富山県の人口は72万人です。,1920.0,72.0
64,石川県,人口,,1920年の石川県の人口は74万人です。,1920.0,74.0
65,福井県,人口,,1920年の福井県の人口は59万人です。,1920.0,59.0
66,山梨県,人口,,1920年の山梨県の人口は58万人です。,1920.0,58.0
67,長野県,人口,,1920年の長野県の人口は156万人です。,1920.0,156.0
68,岐阜県,人口,,1920年の岐阜県の人口は107万人です。,1920.0,107.0
69,静岡県,人口,,1920年の静岡県の人口は155万人です。,1920.0,155.0
70,愛知県,人口,,1920年の愛知県の人口は208万人です。,1920.0,208.0
71,三重県,人口,,1920年の三重県の人口は106万人です。,1920.0,106.0
72,滋賀県,人口,,1920年の滋賀県の人口は65万人です。,1920.0,65.0
73,京都府,人口,,1920年の京都府の人口は128万人です。,1920.0,128.0
74,大阪府,人口,,1920年の大阪府の人口は258万人です。,1920.0,258.0
75,兵庫県,人口,,1920年の兵庫県の人口は230万人です。,1920.0,230.0
76,奈良県,人口,,1920年の奈良県の人口は56万人です。,1920.0,56.0
77,和歌山県,人口,,1920年の和歌山県の人口は75万人です。,1920.0,75.0
78,鳥取県,人口,,1920年の鳥取県の人口は45万人です。,1920.0,45.0
