,種類,質問,回答,Positive,Negative,Hard-Negative
0,Q1,北海道の人口は538万人くらいですか？,538万人くらいです。,[979],"[836, 937, 11]","[96, 629, 288]"
1,Q1,北海道の人口は708万人くらいですか？,708万人よりも少ないです。,[979],"[170, 996, 272]","[979, 779, 288]"
2,Q1,北海道の人口は642万人くらいですか？,642万人くらいです。,[979],"[496, 318, 870]","[288, 679, 96]"
3,Q1,北海道の人口は530万人くらいですか？,530万人くらいです。,[979],"[793, 247, 575]","[929, 431, 779]"
4,Q1,青森県の人口は132万人くらいですか？,132万人くらいです。,[980],"[693, 69, 302]","[980, 145, 49]"
5,Q1,青森県の人口は364万人くらいですか？,364万人よりも少ないです。,[980],"[470, 663, 867]","[384, 432, 530]"
6,Q1,青森県の人口は269万人くらいですか？,269万人よりも少ないです。,[980],"[453, 448, 423]","[384, 97, 680]"
7,Q1,青森県の人口は297万人くらいですか？,297万人よりも少ないです。,[980],"[279, 455, 603]","[880, 530, 1]"
8,Q1,岩手県の人口は130万人くらいですか？,130万人くらいです。,[981],"[822, 674, 665]","[731, 242, 2]"
9,Q1,岩手県の人口は986万人くらいですか？,986万人よりも少ないです。,[981],"[679, 67, 419]","[931, 781, 681]"
10,Q1,岩手県の人口は972万人くらいですか？,972万人よりも少ないです。,[981],"[107, 971, 744]","[242, 531, 881]"
11,Q1,岩手県の人口は626万人くらいですか？,626万人よりも少ないです。,[981],"[492, 651, 400]","[481, 531, 731]"
12,Q1,宮城県の人口は214万人くらいですか？,214万人くらいです。,[982],"[126, 308, 135]","[832, 243, 195]"
13,Q1,宮城県の人口は1306万人くらいですか？,1306万人よりも少ないです。,[982],"[581, 723, 379]","[732, 582, 882]"
14,Q1,宮城県の人口は443万人くらいですか？,443万人よりも少ないです。,[982],"[427, 616, 175]","[882, 782, 632]"
15,Q1,宮城県の人口は679万人くらいですか？,679万人よりも少ないです。,[982],"[37, 745, 245]","[51, 782, 582]"
16,Q1,秋田県の人口は108万人くらいですか？,108万人くらいです。,[983],"[197, 739, 409]","[633, 196, 339]"
17,Q1,秋田県の人口は724万人くらいですか？,724万人よりも少ないです。,[983],"[824, 368, 27]","[933, 339, 583]"
18,Q1,秋田県の人口は155万人くらいですか？,155万人よりも少ないです。,[983],"[761, 457, 493]","[533, 933, 733]"
19,Q1,秋田県の人口は424万人くらいですか？,424万人よりも少ないです。,[983],"[669, 124, 153]","[244, 883, 933]"
